Company Name,City,Industry Segment,Website,Revenue Band,CIN,ICP_Blended_Weighted_Score,ICP_Weighted_Score,Reject_Phase,Reject_Reason_Codes,Dedupe_Winner_Company,Dedupe_Basis
Msafe Equipments Limited,"Central Registration Centre August 19, 2019 Valid till Cancelled 2",Manufacturing / Industrial,https://serencapital.in/; www.maashitla.com; www.msafegroup.com,Extract from restated financials in DRHP (pattern not matched).,U29309DL2019PLC353936,55.0,55.0,step8,duplicate_dedupe|basis:website_host,Recode Studios Limited,website_host
N R GOLD LIMITED,"Bldg., 18/22 Shaikh Memon Street, Kalbadevi , Mumbai, Maharashtra , 400002 India Promoters Sanjay Jain, Rinku Jain and Barbelo Estates LLP Promoter Group Companies, individuals and entities (other than companies) as defined under Regulation 2 sub-regulation (pp) of the SEBI ICDR ...",unspecified_see_drhp,www.ifinservices.in; www.nrgold.com; www.skylinerta.com; www.wealthminenetworks.com,Extract from restated financials in DRHP (pattern not matched).,,25.0,25.0,step8,duplicate_dedupe|basis:website_host,Seemax Resources Limited,website_host
Nanavati Ventures Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
NAPS Global India Limited,"“we”, “us” or “our” Unless the context otherwise indicates or implies, refers to our Company",unspecified_see_drhp,www.afsl.co.in; www.cameoindia.com; www.napsglobalindia.com,Extract from restated financials in DRHP (pattern not matched).,,15.0,15.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Narmadesh Brass Industries Limited,"of our Company is U24209GJ2023PLC145839. For further details, please refer to chapter titled “",unspecified_see_drhp,www.afsl.co.in; www.kfintech.com; www.narmadeshbrass.com,Extract from restated financials in DRHP (pattern not matched).,U24209GJ2023PLC145839,70.0,70.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Naturewings Holidays Limited,"DGK- 417, 4th Floor, DLF Galleria Building, Newtown, Kolkata North 24 Parganas New Town - 700156, West Bengal, India Tel No. / Mob No: +91 931317505;",unspecified_see_drhp,www.bigshareonline.com; www.fedsec.in; www.naturewings.com,Extract from restated financials in DRHP (pattern not matched).,,60.0,60.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
NATURO INDIABULL LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Navkkar Gold & Diamond Limited,"Registered Office: SCO 19, Sector 34C, Sector 34(Chandigarh), Chandigarh -160022 India; Tel",unspecified_see_drhp,www.navkkarjewellers.com; www.skylinerta.com; www.wealthminenetworks.com,Extract from restated financials in DRHP (pattern not matched).,,40.0,40.0,step8,duplicate_dedupe|basis:website_host,Seemax Resources Limited,website_host
Navoday Enterprises Limited,"Maharashtra, on August 20, 2020. For details of changes in registered office please refer “History and Certain Other Corporate Matters’ on page 73.",unspecified_see_drhp,www.inventuremerchantbanker.com; www.navodayenterprise.com; www.satellitecorporate.com,Extract from restated financials in DRHP (pattern not matched).,,65.0,65.0,step8,duplicate_dedupe|basis:website_host,CREATEROI FINANCIAL CONSULTANCY LIMITED,website_host
Neopolitan Pizza Limited,"of the Company was situated at 104, Ashwamegh Avenue, Nr",unspecified_see_drhp,https://tcagroup.in; www.bigshareonline.com; www.neopolitanpizza.in,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,STITCHED TEXTILES LIMITED,website_host
Netanalytiks Technologies Limited,"91 Springboard Gopala Krishna, Complex No",unspecified_see_drhp,www.finshoregroup.com; www.integratedregistry.in; www.netanalytiks.com,Extract from restated financials in DRHP (pattern not matched).,,70.0,70.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
New Swan Multitech Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Nexxus Petro Industries Limited,"B-811 Swati Trinity, Applewood Township Sanathal Sanand, Sarkhej, Ahmedabad, Dascroi, Gujarat, India, 382210",unspecified_see_drhp,www.kfintech.com; www.nexxusgroup.co.in; www.srujanalpha.com,Extract from restated financials in DRHP (pattern not matched).,,25.0,25.0,step8,duplicate_dedupe|basis:website_host,Popular Foundations limited,website_host
Nilachal Carbo Metalicks Limited,"February 13, 2003, vide certificate of incor poration bearing",unspecified_see_drhp,https://nilachalcoke.com/; www.kfintech.com; www.suncapitalservices.co.in,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Safecure Services Limited,website_host
Nimstech Industries Limited,"Plot No. 38, GIDC Estate, Sector-25, Gandhinagar, Gujarat- 382024",unspecified_see_drhp,https://tcagroup.in; www.nimstech.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,,60.0,60.0,step8,duplicate_dedupe|basis:website_host,STITCHED TEXTILES LIMITED,website_host
NISUS FINANCE SERVICE CO LIMITED,LOCATED),unspecified_see_drhp,www.beelinemb.com; www.nisusfin.com; www.skylinerta.com,₹25–100 Cr (approx from lakhs),,30.0,30.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
Nityanand Udyog Limited,2) CIN is not mentioned on the letterhead of Directors Report; 3) Name and DIN of the Directors signing Directors Report is not mentioned; 4),unspecified_see_drhp,https://in.mpms.mufg.com/; www.nityanandudyog.com; www.unistonecapital.com,₹0–5 Cr (approx from lakhs),,15.0,15.0,step8,duplicate_dedupe|basis:website_host,STANBIK AGRO LIMITED,website_host
Northern Spirits Ltd,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Novateor Research Laboratories Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Novus Loyalty Limited,"Companies, Central Processing Centre. The corporate identification number of our Company is U72900HR2011PLC127344.",unspecified_see_drhp,www.kfintech.com; www.novus-loyalty.com; www.shcapl.com,Extract from restated financials in DRHP (pattern not matched).,U72900HR2011PLC127344,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Nanta Tech Limited,website_host
NTL India Limited,"DAYS PRIOR TO THE BID/ISSUE OPENING DATE AND SHALL BE MADE AVAILABLE TO SME PLATFORM OF BSE LIMITED FOR THE PURPOSES OF UPLOADING ON THEIR WEBSITES IN ACCORDANCE WITH THE SECURITIES AND EXCHANGE BOARD OF INDIA (ISSUE OF CAPITAL AND DISCLOSURE REQUIREMENTS REGULATIONS, 2018, AS AM...",unspecified_see_drhp,www.cameoindia.com; www.cumulativecapital.group; www.ntlchennai.net,Extract from restated financials in DRHP (pattern not matched).,,45.0,45.0,step8,duplicate_dedupe|basis:website_host,NTL India Limited,website_host
Olatech Solutions Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Oliria Foods and Beverages Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Oneindig Technologies Limited,"V-503, Atrium, VIVANTA by Taj Hotel Complex, Shooting Range Road, Suraj Kund, Faridabad-121009, Haryana, India C-48, 3rd Floor, DDA Sheds, Okhla Industrial Area Phase-1, South Delhi, New Delhi-110020 Mr. Sumit Das (Company Secretary and Compliance Officer) Email: info@oneindig.te...",unspecified_see_drhp,www.maashitla.com; www.oneindig.tech; www.shareindia.com,₹1 Cr (stated),,25.0,25.0,step8,duplicate_dedupe|basis:website_host,VVIP Infratech Limited,website_host
Organic Recycling Systems Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
OSPYN Technologies Limited,PDF parse error: PdfStreamError,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Oval Projects Engineering Limited,to the section titled “History and Certain Corporate Matters” on page 141.,11. In the past our Company has paid late filing fees for non -compliances with certain provisions of the lab,https://www.ovalprojects.com; www.masserv.com; www.smccapitals.com,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Yashhtej Industries (India) Limited,website_host
PACE E-COMMERCE VENTURES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Paluck Technologies Limited,"Company, please refer to the chapter titled “History and Certain Corporate Matters” on page 176 of this Draft Red Herring Prospectus.",unspecified_see_drhp,https://palucktechno.com/; www.horizonmanagement.in,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,L. T. Elevator Limited,website_host
PARAMOUNT SYNTEX LIMITED,"Bhuwan, Hazrat Abbas Raod, 3Samuel Street, Vadgadi Masjid, Chinchbunder, Princess",unspecified_see_drhp,www.paramountsyntex.com; www.sobhagyacapital.com,Extract from restated financials in DRHP (pattern not matched).,,30.0,30.0,step8,duplicate_dedupe|basis:website_host,L. T. Elevator Limited,website_host
Park Smart Solutions Limited,"registered office of our company, please refer to section titled “",unspecified_see_drhp,www.cameoindia.com; www.finshoregroup.com; www.ltparksmart.com,Extract from restated financials in DRHP (pattern not matched).,,70.0,70.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
Parshva Enterprises Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Party Cruisers Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
PATEL CHEM SPECIALITIES LIMITED,"There have been some instances of delayed filing in the past with the Registrar of Companies of Form CHG-1, MGT-14 and INC-27 with additional fees which may attract penalties.",unspecified_see_drhp,www.cumulativecapital.group; www.linkintime.co.in; www.patelchem.com; www.unistonecapital.com,Extract from restated financials in DRHP (pattern not matched).,,55.0,55.0,step8,duplicate_dedupe|basis:website_host,STANBIK AGRO LIMITED,website_host
PATRON EXIM LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
PDP Shipping & Projects Limited,Email and Telephone,unspecified_see_drhp,www.kfintech.com; www.pdpprojects.com; www.suncapitalservices.co.in,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Safecure Services Limited,website_host
Pearl Green Clubs and Resorts Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Pentech Metals Limited,Certain Corporate Matters” on page no. 92 of this Draft Prospectus.,unspecified_see_drhp,www.afsl.co.in; www.bigshareonline.com; www.pentechmetals.co.in,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Pind Hospitality Limited,CORPORATE OFFICE CONTACT PERSON EMAIL Plot no,unspecified_see_drhp,www.bigshareonline.com; www.fedsec.in; www.pindpunjab.in,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Piotex Industries Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
PlatinumOne Business Services Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
PNGS GARGI FASHION JEWELLERY LIMITED,"S. No. 37/1 & 37/2, Near Lokmat New Paper, Wadgaon, Khurd, Pune – 411 041, Maharashtra, India N.A. Ms. Bhargavi Pratish Aphale Company Secretary and Compliance Officer info@gargibypng.com",unspecified_see_drhp,www.bigshareonline.com; www.gargibypng.com; www.shreni.in,Extract from restated financials in DRHP (pattern not matched).,,80.0,80.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Promax Power Ltd,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
PROSPECT COMMODITIES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Pune E - Stock Broking Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Purple Wave Infocom Limited,"minutes, reporting in number of board meetings in annual returns and typographical errors in forms filed in ROC filing made by our company.",unspecified_see_drhp,www.maashitla.com; www.purplewave.in; www.shcapl.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Nanta Tech Limited,website_host
Quality RO Industries Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Quanto Agroworld Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unspecified_see_drhp,https://in.mpms.mufg.com/; www.quantoagro.com; www.sobhagyacapital.com,Extract from restated financials in DRHP (pattern not matched).,,55.0,55.0,step8,duplicate_dedupe|basis:website_host,L. T. Elevator Limited,website_host
Rainbow Crop Health Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Rajat City Developers Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Rajesh Power Services Limited,"380/3, Siddhi House, Opp",unspecified_see_drhp,www.bigshareonline.com; www.iskadvisors.com; www.rajeshpower.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,SATTRIX INFORMATION SECURITY LIMITED,website_host
Rajeshwari Cans Limited,"96 Mahagujarat Industrial Esta te, Moraiya, Ta: Sanand, Ahmedaba d - 382210, Gujarat, India Promoter(s) / Core Promoter(s) 1",unspecified_see_drhp,www.bigshareonline.com; www.fedsec.in; www.rajeshwaricans.com,Extract from restated financials in DRHP (pattern not matched).,,60.0,60.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Ramsons Food Products Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Rangoli Tradecomm Ltd,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
RAPID MULTIMODAL LOGISTICS LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
REET PROJECTS LIMITED,"Shop No. 327, Third Floor, Ishana the Business Hub, Al than Surat City, Surat- 395017, Gujarat NA Poorvi Jain, Company Secretary & Compliance Officer info@reetprojects.com",unspecified_see_drhp,www.fedsec.in; www.kfintech.com; www.reetprojects.com,Extract from restated financials in DRHP (pattern not matched).,,45.0,45.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
REETECH INTERNATIONAL CARGO AND COURIER LIMITED,"U51100CT2008PLC020983. For further Details of Incorporation and Change in Registered Office of our Company, please refer to s ection titled ‘",unspecified_see_drhp,www.bigshareonline.com; www.gretexcorporate.com; www.reetechinternational.com,Extract from restated financials in DRHP (pattern not matched).,U51100CT2008PLC020983,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Repono Limited,up 1020 Sq,unspecified_see_drhp,https://repono.in/; www.cameoindia.com; www.wealthminenetworks.com,Extract from restated financials in DRHP (pattern not matched).,,60.0,60.0,step8,duplicate_dedupe|basis:website_host,Seemax Resources Limited,website_host
RESGEN LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Resourceful Automobile Limited,"K-24, Upper Ground, KH No",unspecified_see_drhp,www.cameoindia.com; www.sawhneyauto.com; www.swastika.co.in,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Efficient Fire and Security Solutions Limited,website_host
Resvera Wines Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
RETAGGIO INDUSTRIES LIMITED,"Unit-204, Options Primo, Plot No",unspecified_see_drhp,www.bigshareonline.com; www.gretexcorporate.com; www.retaggioindustries.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
RETINA PAINTS LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
REX SEALING AND PACKING INDUSTRIES LIMITED,"A-207, 2nd Floor, Plot No.711 A, Byculla Services Industries, D K Road, Ghodapdeo, Byculla (East) Mumbai - 400027",unspecified_see_drhp,www.afsl.co.in; www.bigshareonline.com; www.rexseal.com,Extract from restated financials in DRHP (pattern not matched).,,65.0,65.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Rhetan TMT Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Richesm Healthcare Limited,Office No,unspecified_see_drhp,www.kslindia.com; www.richesm.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,SJP ULTRASONICS LIMITED,website_host
Ritco Logistics Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
RO Jewels Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Roopa Screen Limited,carry out our business activities,unspecified_see_drhp,https://serencapital.in/; www.bigshareonline.com; www.roopaindia.in,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Recode Studios Limited,website_host
Roopshri Resorts Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
ROOPYAA FINBIZZ LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Rosmerta Digital Services Limited,"a new certificate of incorporation consequent upon conversion dated June 03, 2024, bearing",unspecified_see_drhp,www.beelinemb.com; www.linkintime.co.in; www.narnolia.com; www.rosmertadigital.com,Extract from restated financials in DRHP (pattern not matched).,,30.0,30.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
Rudra Gas Enterprise Limited,"OFFICE CONTACT PERSON TELEPHONE AND EMAIL WEBSITE B-702, The Capital Building, Science City Road, Opp",unspecified_see_drhp,www.beelinemb.com; www.linkintime.co.in; www.rudragasenterprise.com,Extract from restated financials in DRHP (pattern not matched).,,70.0,70.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
RUKMANI DEVI GARG AGRO IMPEX LIMITED,have been certain instances of regulatory non -compliances or delays or errors in the past,unspecified_see_drhp,www.bigshareonline.com; www.fedsec.in; www.rdgagro.com,Extract from restated financials in DRHP (pattern not matched).,,30.0,30.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
S. V. J. ENTERPRISES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Safa Systems & Technologies Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
SAFETY CONTROLS & DEVICES LIMITED,"C-43/28/1 Nawal Kishore Road Hazratganj, Lucknow-226001, Uttar Pradesh, India N",unspecified_see_drhp,www.maashitla.com; www.sobhagyacapital.com,Extract from restated financials in DRHP (pattern not matched).,,40.0,40.0,step8,duplicate_dedupe|basis:website_host,L. T. Elevator Limited,website_host
Sai Swami Metals and Alloys Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
SAILANI TOURS N TRAVELS LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Samor Reality Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
SAN TRICA REALTORS LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Sancode Technologies Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
SANJEEVANI AGROFOODS LIMITED,of Central Processing Centre bearing Corporate identification number U15122UR2008PLC032737,unspecified_see_drhp,www.bigshareonline.com; www.sanjeevaniagrofoods.com; www.shareindia.com,Extract from restated financials in DRHP (pattern not matched).,U15122UR2008PLC032737,50.0,50.0,step8,duplicate_dedupe|basis:website_host,VVIP Infratech Limited,website_host
Satol Chemicals Limited,"name and registered office of our company, please refer to secti on titled “",unspecified_see_drhp,https://www.satol.net; www.blackfoxindia.com; www.finshoregroup.com,Extract from restated financials in DRHP (pattern not matched).,,70.0,70.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
SBC Exports Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
SBL Infratech Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
SBS Food Courts Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Scarnose International Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Sealmatic India Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Secmark Consultancy Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
SEVEN SEAZ VACATIONS LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Shakti Polytarp Limited,company. Any termination of the relevant lease/ rent agreements could adversely affect our operations.,unspecified_see_drhp,www.nexgenfin.com; www.shaktipolytarp.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,,30.0,30.0,step8,duplicate_dedupe|basis:website_host,Defrail Technologies Limited,website_host
Sham Foam Limited,Promoters and the same property has been used as security for loan taken by our Company for its machineries:,"As on date of the Draft Prospectus, our Company has been using the following brand names for marketing and distribution ",www.alankitassignments.com; www.corporatemakers.in; www.navigantcorp.com; www.shamfoam.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Yashhtej Industries (India) Limited,website_host
SHANTIDOOT INFRA SERVICES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Sharp Agricom Limited,Download failed (timeout or HTTP error).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Sharvaya Metals Limited,on the page 163 of the DRHP:,unspecified_see_drhp,www.bigshareonline.com; www.expertglobal.in; www.sharvayametals.com,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Royal Sense Limited,website_host
Shayona Engineering Ltd.,Registered Office: Shed No,unspecified_see_drhp,www.horizonmanagement.in; www.kfintech.com; www.shayonaengg.com,Extract from restated financials in DRHP (pattern not matched).,,15.0,15.0,step8,duplicate_dedupe|basis:website_host,L. T. Elevator Limited,website_host
SHELTER PHARMA LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Shining Tools Ltd,"For further details, please refer to chapter titled “",unspecified_see_drhp,https://accuratesecurities.com/; www.sobhagyacapital.com; www.tixnatools.com,Extract from restated financials in DRHP (pattern not matched).,,55.0,55.0,step8,duplicate_dedupe|basis:website_host,L. T. Elevator Limited,website_host
Shipwaves Online Limited,identification number (,unspecified_see_drhp,www.cameoindia.com; www.finshoregroup.com; www.shipwaves.com,Extract from restated financials in DRHP (pattern not matched).,,70.0,70.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
Shiv Texchem Limited,"and other details please, see “History and Certain Corporate Matters” on page 126 of the Draft Red Herring Prospectus",unspecified_see_drhp,www.linkintime.co.in; www.shivtexchem.com; www.vivro.net,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Justo Realfintech Limited,website_host
Shivam Chemicals Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Shivchem Agro limited,See DRHP ‘General Information’ — address not matched by pattern.,unspecified_see_drhp,www.maashitla.com; www.shannon.co.in; www.shivchemagro.com,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Globtier Infotech limited,website_host
Shoora Designs Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Shree Marutinandan Tubes Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
SHREENATH PAPER PRODUCTS LIMITED,CORPORATE OFFICE CONTACT PERSON EMAIL Shop no,unspecified_see_drhp,www.bigshareonline.com; www.fedsec.in; www.shreenathpaper.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Shreni Shares Limited,"Borivali (West)- 400092 Mumbai, Maharashtra, India “we”, “us” or “our” Unless the context otherwise indicates or implies, refers to our Company.",unspecified_see_drhp,www.afsl.co.in; www.bigshareonline.com; www.shreni.in,Extract from restated financials in DRHP (pattern not matched).,,25.0,25.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
SHREYAS FABTECH LIMITED,Ahmedabad,Manufacturing / Industrial,www.gretexcorporate.com; www.linkintime.co.in; www.shreyas.biz,Extract from restated financials in DRHP (pattern not matched).,,65.0,65.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Shri Balaji Valve Components Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Shri Venkatesh Refineries Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Sihora Industries Limited,"Compound, Udhna, Mangrol, Surat-394210, Gujarat, India. You or Your or Yours Prospective Investors in the Issue",unspecified_see_drhp,www.bigshareonline.com; www.sihoragroup.com; www.sobhagyacapital.com,Extract from restated financials in DRHP (pattern not matched).,,25.0,25.0,step8,duplicate_dedupe|basis:website_host,L. T. Elevator Limited,website_host
Silicon Rental Solutions Ltd,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Silver Pearl Hospitality & Luxury Spaces Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Siyaram Recycling Industries Limited,Download failed (timeout or HTTP error).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Sobo Films Holding Limited,CORPORATE OFFICE CONTACT PERSON CONTACT NUMBER AND EMAIL,unspecified_see_drhp,www.bigshareonlince.com; www.comfortsecurities.co.in; www.sobofilms.com,Extract from restated financials in DRHP (pattern not matched).,,15.0,15.0,step8,duplicate_dedupe|basis:website_host,Yash Highvoltage Limited,website_host
Sodhani Academy of Fintech Enablers Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unspecified_see_drhp,www.cameoindia.com; www.safefintech.in; www.srujanalpha.com,Extract from restated financials in DRHP (pattern not matched).,,15.0,15.0,step8,duplicate_dedupe|basis:website_host,Popular Foundations limited,website_host
SOLARIUM GREEN ENERGY LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
