Company Name,City/Location,Industry Segment,Website,Revenue Band,DSIR Recognition Evidence,Promoter/Decision-Maker,Growth Signals,Source
JEE Pumps Limited,"details, see “Our Business – Our Properties” on page 130 of the Draft Red Herring Prospectus.","(a) Business Overview – Products We are engaged in manufacturing and assembly of metallic and non - metallic customized pumps like centrifugal pump, chemical process pump, self -priming pump and mud pump comprising of electric motors or engines, which are designed, assembled and tested to operate for longer period of time. Th ese pumps are sold under the brand name “JEE Pumps”.",www.ib.marwadichandaranagroup.com; www.jeepumps.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
JETMALL SPICES AND MASALA LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms Sheethal Jayandra Mehta; Mr. Jatin Pandya Company Secretary; Ms. Sheethal Jayandra Mehta Director; Mr Bharat Kumar Pukhrajji Promoter Group Such,Not assessed (no machine-readable text).,BSE DRHP
Jinaam’s Dress Limited,Certain Corporate Matters” beginning on page 106 of this Draft Prospectus.,See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.jinaam.comCorporate; www.smccapitals.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Rahul Hemraj Oswal; Vishal Hemraj Oswal; Pritam Hemraj Oswal,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Jivial Industries Limited,section title “History and Corporate Structure” on page no. 165 of this Draft Prospectus.,significant customers or the inability to procure new orders on a regular basis or at all may have an adverse effect on,www.bigshareonline.com; www.corporatemakers.in; www.jivialrailings.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure,BSE DRHP
Jiya Eco India Limited,"Bhavnagar – 364313, Gujarat. “we”, “us” and “our” Unless the context otherwise indicates or implies, refers to our Company “you”, “your” or “yours” Prospective investors in this Issue",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.hemsecurities.com; www.jiyaecoindia.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Akanksha Akhilesh Srivastava; Mr. Bhavesh Jivrajbhai Kakadiya; Mr. Yogeshkumar Chimanlal Patel THE ISSUE INITIAL; Mr. Yogeshkumar Chimanlal Patel. For; Mrs. Hetalben Bhaveshbhai Kakadiya; Mr. Vipulbhai S. Vora. Mrs. Rita Vora; Mr. Jivrajbhai Gopalbhai Kakadiya. Issue Relat; Mr. Jivrajbhai Gopalbhai Kakadiya. Issue Related Terms,ISO certification mentioned; subsidiary / group structure,BSE DRHP
JJ PV SOLAR LIMITED,"Our Company in consultation with the BRLM, may, consider closing the Bid/Issue Period for QIBs one Working Day prior to the Bid/Issue Closing Date in accordance with the SEBI ICDR Regulations.",See DRHP ‘Industry / Business overview’ section.,www.jjpvsolar; www.jjpvsolar.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure,BSE DRHP
JKV SOLUTIONS LIMITED,"22 Administrative & HR 1 Total 50 *includes UI/UX Designer, Developers, Project Manager, System Architects, Database Administrators.",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.fedsec.in; www.jkvsolutions.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,ISO certification mentioned; subsidiary / group structure,BSE DRHP
Jungle Camps India Limited,"Jungle Resorts Private Limited” and “Jungle Camps Private Limited”, the same are required to be updated/ changed with various government/semi government authorities and various organizations.",See DRHP ‘Industry / Business overview’ section.,www.junglecampsindia.com; www.khambattasecurities.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Parul Shekhawat; Mr. Chandan Mishra; Ms. Nisha Shaw SEBI Registration No; Mr. Anuj Rana Website,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Justo Realfintech Limited,"El Tara Building, Powai, Off. Orchard Avenue, Hiranandani Gardens, Mumbai City, Mumbai, 400076, Maharashtra, India. “we”, “us” and “our” Unless the context otherwise indicates or implies, refers to our Company and our Subsidiary on a consolidated basis. “you”, “your”, or “yours” Prospective investors in this Issue",See DRHP ‘Industry / Business overview’ section.,www.justo.co.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,subsidiary / group structure,BSE DRHP
K K Silk Mills Limited,"Corporate Structure” beginning on page no. 143 of this Draft Red Herring Prospectus. Registered Office: 314, Kewal Industrial Estate, S. B. Road, Delisle Road, Lower Parel (W)- 400013, Mumbai, Maharashtra, India Website: www.kksilkmills.com ; E-Mail: cs@kksilkmills.com; Telephone No: +91 8879779739 Company Secretary and Compliance Officer: Ms. Saachi Rajesh Madnani",See DRHP ‘Industry / Business overview’ section.,www.axialcapital.in; www.kksilkmills.com; www.linkintime.co.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Saachi Rajesh Madnani PROMOTERS OF; Mr. Ashish Roongta CIN; Ms. Shanti Gopalkrishnan Email Id; Mrs. Asha Manish Shah; Ms. Saachi Rajesh Madnani; Ms. Saachi Rajesh Madnani Membership No,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
K. V. TOYS INDIA LIMITED,LOCATED) AT LEAST TWO WORKING DAYS PRIOR TO THE BID/ISSUE OPENING DATE WITH THE RELEVANT FINANCIAL RATIOS CALCULATED AT THE FLOOR PRICE AND THE CAP PRICE AND SHALL BE MADE AVAILABLE TO THE SME PLATFORM OF BSE LIMITED (“BSE”) FOR THE PURPOSES OF UPLOADING ON ITS,See DRHP ‘Industry / Business overview’ section.,https://kvtoys.com/; www.gyrcapitaladvisors.com; www.purvashare.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Ms. Namita Narang,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Kahali Craftistics Limited,"Registration Centre pursuant to a certificate of incorporation dated January 19, 2023 bearing Corporate Identification Number (",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.fedsec.in; www.kahalicraftistics.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Kahan Packaging Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,Not assessed (no machine-readable text).,BSE DRHP
Kaka Industries Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Akun Goyal Email,Not assessed (no machine-readable text).,BSE DRHP
Kalyani Cast-Tech Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Pankaj Kumar Company Secretary; Ms. Neha Maiya; Mr. Pankaj Kumar; Mr. Naresh Kumar; Mr. Javed Aslam; Mr. Nathmal Bangani; Ms. Kamala Kumari Jain; Ms. Muskan Bangani DETAILS OF THE ISSUE; Ms. Muskan Bangani,Not assessed (no machine-readable text).,BSE DRHP
Kaneri Agro Industries Limited,"Lodariyal, Bavla Sanand Road, Ahmedabad-382220. Our Promoters Mr. Ritesh Kaushikbhai Patel, Mr. Nilesh Kaushikbhai Patel and Mrs. Palak Ritesh Patel Promoters Group Companies, individuals and entities (other than companies) as defined under Regulation 2(1)(pp) of the SEBI (ICDR) Regulations, 2018 which is provided in the chapter titled “Our Promoters and Promoters Group”.",See DRHP ‘Industry / Business overview’ section.,www.beelinebroking.com; www.kaneriagro.in; www.linkintime.co.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Asha Rameshwarlal Jain; Mr. Ritesh Kaushikbhai Patel; Mr. Nilesh Kaushikbhai Patel; Mrs. Palak Ritesh Patel Promoters Group Companies; Mr. Nileshkumar Kaushikbhai Patel; Mrs. Palak Ritesh Patel. For; Mrs. Palak Ritesh Patel; Mrs. Nidhi Nileshkumar Patel; Mrs. Indiraben Kaushikbhai Patel; Mr. Kaushikkumar Bhogilal Patel,ISO certification mentioned,BSE DRHP
Kanishk Aluminium India Limited,Processing Centre. Our Company’s Corporate Identity Number is,See DRHP ‘Industry / Business overview’ section.,https://kanishkindia.co.in/; www.kfintech.com; www.suncapitalservices.co.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Prachi Mittal PROMOTERS OF OUR; Mr. Parmanand Agarwal Date,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Kanone Technologies Limited,"B4(1) 46/2678, Kaniyapilly Road, Chakkaraparambu Vennala P.O Ernakulam, Vennala, Ernakulam, Ernakulam, Kerala, India, 682028",See DRHP ‘Industry / Business overview’ section.,www.cameoindia.com; www.ftfinsec.com; www.kanone.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mrs. Sweety Jhunjhunwala Company Secretary; Mr. Faizal Bavaraparambil Abdul Khader; Mrs. Sruthi Muhammed Ali; Mr. Anaz Abdul Khader Bavaraparambil; Mrs. Sweety Jhunjhunwala; Mr. Vivek Vilas Joshi; Mr. Adarsh Punnakkattu Vinu,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Karbonsteel Engineering Limited,"TELEPHONE WEBSITE B-8; Ratnadeep Cosmopolitan Chs Ltd, 140-141 S.V. Road, Nr. Shoppers Stop, Andheri (W), Mumbai, Maharashtra, India-400058. Jankhana Vasanji Gala (Company Secretary & Compliance Officer) E-mail: info@karbonsteel.com Tel No: +91-22- 61872821 Website: https://www.karbonsteel.com/",See DRHP ‘Industry / Business overview’ section.,https://serencapital.in/; https://www.karbonsteel.com/; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,facility expansion,BSE DRHP
Karma Ecotech Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Nimit Aggarwal DETAILS OF THE ISSUE,Not assessed (no machine-readable text).,BSE DRHP
KASLIWAL PROJECTS LIMITED,"wide circulation. Our Promoters will be required to provide an exit opportunity to such Shareholders who do not agree to the above stated proposal, in accordance with the Companies Act, 2013 and in accordance with such terms and conditions, including in respect of pri",See DRHP ‘Industry / Business overview’ section.,https://kasliwalprojects.com/; www.corpwis.com; www.purvashare.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Padam Kumar Jain; Mr. Nitish Padam Jain; Mrs. Jyoti Jain; Mrs. Poonam Anish Jain; Mrs. Mina Devi Jain; Mr. Anish Padam Jain,capacity expansion; subsidiary / group structure,BSE DRHP
Kasturi Metal Composite Limited,PDF parse error: PdfStreamError,,,,,Could not download DRHP PDF/ZIP for promoter extraction.,,BSE DRHP
Katex Exim Limited,"OFFICE CONTACT PERSON TELEPHONE AND EMAIL WEBSITE 55/Ashra Ind. Estate B/h. Mahalaxmi Fabrics, Narol, Ahmedabad – 382405, Gujarat - Ms. Shivani Mittal Mobile No: +91 9484781647 Email Id: info@thekatex.com",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.nirbhaycapital.com; www.thekatex.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Sajal Rakesh Bansal,subsidiary / group structure,BSE DRHP
Kedarnath Industries Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Jitendra Singh Rathore; Mr. Rohit Mittal Promoter Group; Mr. Rohit Mittal,Not assessed (no machine-readable text).,BSE DRHP
Kelson Foods Limited - (Withdrawn),Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Kishan Tekchandani; Raina Tekchandani,Not assessed (no machine-readable text).,BSE DRHP
Kenrik Industries Limited,"of Our Company, please refer to section titled “Our History and Certain Corporate Matters” beginning on page no",See DRHP ‘Industry / Business overview’ section.,https://tcagroup.in; www.kenrikindustries.net; www.skylinerta.com,4980.74 lakhs,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mrs. Kiran Nitesh Prajapati; Mrs. Kiran Nitesh Prajapati Company Secretary; Mr. Heemadri Mukerjea Telephone; Mr. Anuj Rana Telephone; Mr. Nitin Dalpat Lal Shah; Mr. Nihar Nitinbhai Shah; Ms. Manisha Nitinkumar Shah,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Kesar India Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,Not assessed (no machine-readable text).,BSE DRHP
Khazanchi Jewellers Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Sakshi Jain; Mr Tarachand Mehta; Mr. Goutham Promoter Group Persons,Not assessed (no machine-readable text).,BSE DRHP
Kheria Autocomp Ltd,Gurugram,Specialty Manufacturing (Auto Components),kheriaautocomp.com,₹70–120 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Sep 2025,data.csv
Khyati Global Ventures Limited,117 of this Draft Prospectus.,See DRHP ‘Industry / Business overview’ section.,www.afsl.co.in; www.bigshareonline.com; www.kgv.co.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Kiaasa Retail Limited,further details of our Company see “General Information” and “History and Certain Corporate Matters” beginning on page 70 and 182 respectively of this Draft Red Herring Prospectus,See DRHP ‘Industry / Business overview’ section.,www.kiaasa.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Kanishka Singhal Company Secretary; Ms. Kanishka Singhal; Mr. Om Prakash; Mr. Amit Chauhan,subsidiary / group structure,BSE DRHP
Kizi Apparels Limited,"dated August 09, 2023. The Corporate Identification Number of our Company is U14109RJ2023PLC086522.",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.ifinservices.in; www.kiziapparels.co.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Kiran Nathani; Mr. Pradip Sandhir SEBI Reg. No; Mr. Asif Sayyed SEBI Reg. No; Mr. Abhishek Nathani,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
KK Shah Hospitals Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Saloni Badjatya Company Secretary; Mr. Saipan Sanghvi SEBI Registration Number; Mr. Parth Shah; Ms. Kritika Rupda SEBI Registr; Ms. Kritika Rupda SEBI Registration Number; Dr. Kirti Kumar Shah; Ms. Saloni Badjatya; Dr. Amit Shah; Dr. Kirti Kumar Shah Promoter Group Such; Dr. Amit Shah Company Secretary,Not assessed (no machine-readable text).,BSE DRHP
Knowledge Marine & Engineering Works Limited,"Limited Company pursuant to the special resolution passed by the shareholders at the Extra-Ordinary General Meeting of our Company held on January 23, 2020 and consequent upon conversion the name of our Company was changed to “Knowledge Marine & Engineering Works Limited” vide a fresh certificate of incorporation dated January 31, 2020 bearing",See DRHP ‘Industry / Business overview’ section.,www.hemsecurities.com; www.kmew.in; www.linkintime.co.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Sonali Chetan Gor; Mr. Saurabh M. Daswani; Mrs. Kanak S. Kewalramani THE ISSUE INITIAL; Mr. Saurabh M. Daswani Materiality Policy; Mrs. Kanak S. Kewalramani; Mr. Pinkesh Kewalramani; Mr. Saurabh Daswani Stakeholders Relationship Committee,subsidiary / group structure,BSE DRHP
Koura Fine Diamond Jewelry Limited,"304, Iscon Emporio, B/S Star India Bazar Near Jodhpur Cross Road, Satellite, Ahmedabad-380015, Gujarat, India.","which one can evaluate our business, future prospects and viability.",www.gyrcapitaladvisors.com; www.kfintech.com; www.kouradiamondjewelry.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Kamlesh Keshavlal Lodhiya,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
KP Green Engineering Limited,LOCATED). AT LEAST TWO WORKING DAYS PRIOR TO THE ISSUE OPENING DATE AND SHALL BE MADE AVAILABLE TO THE BSE LIMITED “BSE”) FOR THE PURPOSE OF UPLOADI NG ON THEIR,See DRHP ‘Industry / Business overview’ section.,www.beelinemb.com; www.bigshareonline.com; www.kpgreenengineering.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Saurabh Sharma PROMOTERS OF OUR; Mr. Muinulhaque Iqbalhusen Kadva Whole Time Director; Mr. Hassan Faruk Patel; Dr. Farukbhai Gulambhai Patel; Mr. Hassan Faruk Patel Page; Mr. Hassan Faruk Patel. For,subsidiary / group structure,BSE DRHP
Kranti Industries Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Bhavesh Subhash Selarka; Mrs. Sheela Dhawale. Company Secretary; Mr. Bhavesh Subhash Selarka. Equity Shares Equity; Mr. Sachin Subhash Vora; Mr. Sumit Subhash Vora; Mrs. Indubala Subhash Vora For; Mrs. Basanti Kundanmal Vora Stakeholders,Not assessed (no machine-readable text).,BSE DRHP
Kratikal Tech Limited,"Deputy Registrar of Companies/ Registrar of Companies, Central Processing Centre. Our Company ’s Corporate Identity Number consequent to Alteration of Object Clause(s) is U62099UP2013PLC060625. For details of change in registered office of our Company, please refer to chapter titled “History and Corporate Structure” beginning on page no. 201 of the Draft Red Herring Prospectus.",See DRHP ‘Industry / Business overview’ section.,https://kratikal.com; www.beelinemb.com; www.kfintech.com,931.66 lakhs,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Anmol Gupta PROMOTERS OF OUR; directors on the boards of our subsidiaries,ISO certification mentioned; digital / hiring channel mention; subsidiary / group structure,BSE DRHP
KRM Ayurveda Ltd,Kerala,Specialty Manufacturing (Healthcare/Ayurveda),krmayurveda.com,₹30–60 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Sep 2025,data.csv
Krupalu Metals Limited,to section titled “Our History and Certain Corporate Matters” beginning on page no 138 of the Draft Prospectus.,"relationships with us due to a change in preference or any other reason on immediate basis, which could materially and adversely impact",www.krupalumetals.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. S. Ramakrishna Iyengar CAMEO CORPORATE SERVICES; Ms. K. Sreepriya ISSUE PROGRAMME ISSUE OPENS; Mr. S. Ramakrishna Iyengar SEBI Registration No,ISO certification mentioned,BSE DRHP
Kuberan Global Edu Solutions Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,Not assessed (no machine-readable text).,BSE DRHP
Kumjai Farms Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: JITENDRA SUDAM KULKARNI AND GAYATRI JITENDRA KULKARNI; Mr. Aniket Chindarkar SEBI Registration No,Not assessed (no machine-readable text).,BSE DRHP
KVS Castings Limited,INTELLECTUAL PROPERTY RIGHTS,See DRHP ‘Industry / Business overview’ section.,https://kvscastings.com/; www.narnolia.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Arpan Jindal,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Kwick Forensic Solutions Limited,Sales & Marketing (On-site),See DRHP ‘Industry / Business overview’ section.,https://ccvindia.com/mb/; https://kwickforensic.com/; www.bigshareonline.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Selvakumar Krithika; Ms. Harpreet Parashar Tel. No; Mr. Babu Rapheal C. Tel No,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
L.K.Mehta Polymers Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Pooja Wadhvani; Mr. Mohit R. Goyal Email Id; Mr. Babu Rapheal; Mr. Kamlesh Mehta; Mr. Rina Mehta; Ms. Aashi Mehta. Company Secretary; Mrs. Pooja Wadhvani. Depositories Act The Depositories; Mrs. Rina Mehta. For; Mrs. Rina Mehta; Ms. Aashi Mehta,Not assessed (no machine-readable text).,BSE DRHP
L. T. Elevator Limited,"Centre. For details of change in Registered Office of our Company, please refer to the chapter titled “History and Certain Corporate Matters” on page 144 of the Draft Red Herring Prospectus.",See DRHP ‘Industry / Business overview’ section.,www.cameoindia.com; www.horizonmanagement.in; www.ltelevator.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. K. Sreepriya ISSUE OPENS ON ISSUE,ISO certification mentioned; subsidiary / group structure,BSE DRHP
LABDHI COMMERCIALS LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Nikunj Mahendrabhai Kanabar; Mr. Nikunj Mahendrabhai Kanabar. Corporate Identification Number; Mr. Manoj Kantilal Raka. MOA; Mr. Manoj Kantilal Raka; Mrs. Rakhi Manoj Raka. Promoter Group Such,Not assessed (no machine-readable text).,BSE DRHP
Labelkraft Technologies Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Mritunjay Kumar; Mr. Sourabh Garg Email; Mr. Babu Rapheal Email; Mr. Ranjeet Kumar Solanki DETAILS OF,Not assessed (no machine-readable text).,BSE DRHP
Landmark Immigration Consultants Limited,"over such premises. In the event we lose such rights or are required to negotiate it, our cash flows, business, financial conditions and results of operations could be adversely affected.",See DRHP ‘Industry / Business overview’ section.,www.kfintech.com; www.landmarkimmigration.com; www.shreni.in,3 Crores,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Charanchit Kaur; Mr. Jasmeet Singh Bhatia Chairman; Ms. Tanya Goyal Website,hiring / recruitment,BSE DRHP
LAPL Automotive Limited,"Processing Centre. The corporate identification number of our Company is U34300MH2004PLC149728. For further details on Incorporation and Registered Office of our Company, see “History and Certain Corporate Matters” beginning on page 189 of this Draft Prospectus.",See DRHP ‘Industry / Business overview’ section.,https://laplautomotive.com/; www.maashitla.com; www.shcapl.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: NEERAJ SATYAPRAKASH GOYAL; SHUBHAM NEERAJ GOYAL AND ANITA NEERAJ GOYAL; Mr. Parth Shah E-mail,capex / capital expenditure; ISO certification mentioned,BSE DRHP
Larisa Hotels and Resorts Limited,"Centre issued a new certificate of incorporation consequent upon conversion dated October 08, 2024, bearing",See DRHP ‘Industry / Business overview’ section.,https://larisahotelsandresorts.co; https://larisahotelsandresorts.com/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure,BSE DRHP
Leapfrog Engineering Services Limited,"company, please refer to section titled “",See DRHP ‘Industry / Business overview’ section.,www.lesgroup.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Sneha Hegde; Mr. Prabhav Narasimha Rao; Mrs. Priyashaila Prabhav Rao ADDENDUM TO; Mr. S. Ramakrishna Iyengar INTEGRATED REGISTRY MANAGEMENT; Mr. Suresh Bohra Telephone,subsidiary / group structure,BSE DRHP
Leo Dryfruits & Spices Trading Limited,"Office Contact Person Email and Telephone Website A 812, MIDC Khairane, Thane Belapur Rd, TTC Industrial Area, Koperkhairane, Thane, Maharashtra-400705, India N.A. Ms. Pratibha Kumari Bharadia Company Secretary and Compliance Officer Email: info@leodryfruitsandspices.com",See DRHP ‘Industry / Business overview’ section.,www.leodryfruitsandspices.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Pratibha Kumari Bharadia Company Secretary; Ms. Tanya Goyal E-mail; Ms. Pratibha Kumari Bharadia; Mr. Kaushik Sobhagchand Shah. MOA; Mr. Parth Ashish Mehta. NRIs; Mr. Kaushik Sobhagchand Shah; Mr. Ketan Sobhagchand Shah; Mr. Parth Ashish Mehta. For; Mr. Ashish Jaswantrai Mehta; Mr. Parth Ashish Mehta. Stakeholders Relationship Committee,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
LGT Business Connextions Limited,the Corporate Identification Number of our Company is U74999TN2016PLC112289. For further details of incorporation please refer to section titled “,See DRHP ‘Industry / Business overview’ section.,www.lgtholidays.com; www.markcorporateadvisors.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,subsidiary / group structure,BSE DRHP
LIOTECH INDUSTRIES LIMITED,LEAD MANAGER TO THE ISSUE REGISTAR TO THE ISSUE,See DRHP ‘Industry / Business overview’ section.,www.kfintech.com; www.liotechindustries.in; www.wealthminenetworks.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,capex / capital expenditure,BSE DRHP
